id,pop,survey,season,sampler,site,site_code,capture_time,release_time,recapture,FTA_blood,field_sample_reference,blood_sample_batch,lon,lat
C_NOV92,Central,2022 Early Wet Season,Early Wet,Breanna Williams,11 Mile Scrape,11MS,9/02/2022 11:38,9/02/2022 12:19,No,Yes,BTF68,Nov_2023,146.272062,-21.914974
C_NOV93,Central,2022 Early Wet Season,Early Wet,Breanna Williams,11 Mile Scrape,11MS,9/02/2022 2:40,9/02/2022 3:35,No,Yes,BTF70,Nov_2023,146.272021,-21.914966
C_NOV94,Central,2022 Early Wet Season,Early Wet,Breanna Williams,11 Mile Scrape,11MS,9/02/2022 2:40,9/02/2022 3:35,No,Yes,BTF71,Nov_2023,146.272024,-21.914976
C_NOV73,Central,2022 Early Wet Season,Early Wet,Breanna Williams,Three-ways Fence Scrape,3WFS,17/02/2022 4:28,17/02/2022 17:40,No,Yes,BTF129,Nov_2023,146.34478,-21.950928
C_NOV74,Central,2022 Early Wet Season,Early Wet,Breanna Williams,Scrape on track SW of Ten Mile,SWTM,19/02/2022 9:36,19/02/2022 10:11,No,Yes,BTF130,Nov_2023,146.237134,-21.936644
C_NOV75,Central,2022 Early Wet Season,Early Wet,Breanna Williams,Scrape on track SW of Ten Mile,SWTM,19/02/2022 11:07,19/02/2022 11:37,No,Yes,BTF131,Nov_2023,146.237152,-21.936667
C_NOV76,Central,2022 Early Wet Season,Early Wet,Breanna Williams,Scrape on track SW of Ten Mile,SWTM,19/02/2022 11:07,19/02/2022 12:03,No,Yes,BTF132,Nov_2023,146.237151,-21.936662
C_NOV77,Central,2022 Early Wet Season,Early Wet,Breanna Williams,Scrape on track SW of Ten Mile,SWTM,19/02/2022 12:35,19/02/2022 13:40,No,Yes,BTF138,Nov_2023,146.237147,-21.936658
C_NOV78,Central,2022 Early Wet Season,Early Wet,Breanna Williams,Scrape on track SW of Ten Mile,SWTM,19/02/2022 12:35,19/02/2022 14:04,No,Yes,BTF139,Nov_2023,146.237151,-21.936652
C_NOV79,Central,2022 Wet Season,Wet,Emily Drummond,Scrape on track SW of Ten Mile,SWTM,3/06/2022 3:50,3/06/2022 4:20,Yes,Yes,BTF148,Nov_2023,146.237251,-21.93675
C_NOV80,Central,2022 Wet Season,Wet,Emily Drummond,11 Mile Scrape,11MS,3/06/2022 22:50,3/06/2022 23:40,Yes,Yes,BTF154,Nov_2023,146.27205,-21.914982
C_NOV81,Central,2022 Wet Season,Wet,Emily Drummond,Three-ways Fence Scrape,3WFS,6/06/2022 3:50,6/06/2022 4:56,Yes,Yes,BTF169,Nov_2023,146.345044,-21.950855
C_NOV82,Central,2022 Wet Season,Wet,Emily Drummond,Scrape on track SW of Ten Mile,SWTM,3/06/2022 1:35,3/06/2022 2:35,No,Yes,BTF145,Nov_2023,146.237146,-21.936713
C_NOV83,Central,2022 Wet Season,Wet,Emily Drummond,Scrape on track SW of Ten Mile,SWTM,3/06/2022 1:30,3/06/2022 3:04,No,Yes,BTF146,Nov_2023,146.237251,-21.93675
C_NOV84,Central,2022 Wet Season,Wet,Emily Drummond,Scrape on track SW of Ten Mile,SWTM,3/06/2022 1:30,2/06/2022 15:50,No,Yes,BTF147,Nov_2023,146.237221,-21.936776
C_NOV85,Central,2022 Wet Season,Wet,Emily Drummond,11 Mile Scrape,11MS,3/06/2022 22:50,4/06/2022 0:16,No,Yes,BTF156,Nov_2023,146.27205,-21.914982
C_NOV86,Central,2022 Wet Season,Wet,Emily Drummond,11 Mile Scrape,11MS,4/06/2022 2:00,3/06/2022 2:46,Yes,Yes,BTF158,Nov_2023,146.27205,-21.914982
C_NOV87,Central,2022 Wet Season,Wet,Emily Drummond,11 Mile Scrape,11MS,4/06/2022 3:50,4/06/2022 4:45,No,Yes,BTF163,Nov_2023,146.27205,-21.914982
C_NOV88,Central,2022 Wet Season,Wet,Emily Drummond,Number 2 Dam,N2D,5/06/2022 1:45,5/06/2022 2:35,No,Yes,BTF173,Nov_2023,146.307307,-21.947912
C_NOV89,Central,2022 Wet Season,Wet,Dean Jones,Boundary Rd 6km N 4mile bore,BR,7/06/2022 0:15,7/06/2022 0:55,No,Yes,BTF176,Nov_2023,146.271546,-21.962496
C_NOV90,Central,2022 Wet Season,Wet,Breanna Williams,Spider Alley,SA,10/06/2022 1:30,10/06/2022 2:46,No,Yes,BTF201,Nov_2023,146.259302,-21.883999
S_NOV01,South,2023 Wet Season,Wet,Chays Ogston,Carmichael Bore,CMB,11/05/2023 9:40,11/05/2023 10:20,No,Yes,Nov-01,Nov_2023,146.383108,-22.137289
