id,pop,survey,season,sampler,site,site_code,old_site_code,capture_time,release_time,recapture,FTA_blood,field_sample_reference,blood_sample_batch,included_LandRes,250m_lon,250m_lat,100m_lon,100m_lat,lon_old,lat_old,service,plate_location,Relatedness
C_BTF32,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 11:33,13/09/2021 12:41,No,Yes,BTF32,Jul_2022,Yes,146.33101,-21.94648,146.332634,-21.948131,146.333546,-21.948902,DPeop22-7457,1-H4,Unrelated
C_NOV73,Central,2022 Early Wet Season,Early Wet,Breanna Williams,Three-ways Fence Scrape,3WFS_2,3WFS,17/02/2022 4:28,17/02/2022 17:40,No,Yes,BTF129,Nov_2023,Yes,146.34594,-21.95137,146.344644,-21.951149,146.34478,-21.950928,DPoep23-8916,1-A10,Unrelated
C_NOV81,Central,2022 Wet Season,Wet,Emily Drummond,Three-ways Fence Scrape,3WFS_2,3WFS,6/06/2022 3:50,6/06/2022 4:56,Yes,Yes,BTF169,Nov_2023,Yes,146.34594,-21.94887,146.345644,-21.950149,146.345044,-21.950855,DPoep23-8916,1-A11,Unrelated
C_NOV68,Central,2022 Dry Season,Dry,Breanna Williams,Three-ways Fence Scrape,3WFS_2,3WFS,11/10/2022 11:45,11/10/2022 12:08,No,Yes,BTF258,Nov_2023,Yes,146.34844,-21.94887,146.345644,-21.951149,146.345083,-21.95085,DPoep23-8916,1-D9,Unrelated
C_NOV69,Central,2022 Dry Season,Dry,Breanna Williams,Three-ways Fence Scrape,3WFS_2,3WFS,11/10/2022 14:05,11/10/2022 14:25,No,Yes,BTF261,Nov_2023,Yes,146.34844,-21.95137,146.345644,-21.952149,146.345083,-21.95085,DPoep23-8916,1-E9,Unrelated
C_BTF57,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 11:07,15/09/2021 11:52,No,Yes,BTF57,Jul_2022,Yes,146.29596,-22.01637,146.295629,-22.016126,146.29508,-22.01683,DPeop22-7457,1-A8,Unrelated
C_BTF58,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 12:13,15/09/2021 12:34,Yes,Yes,BTF58,Jul_2022,Yes,146.29596,-22.01387,146.295629,-22.015126,146.29508,-22.01683,DPeop22-7457,1-B8,Unrelated
C_BTF52,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 9:18,15/09/2021 10:02,No,Yes,BTF52,Jul_2022,Yes,146.29846,-22.01387,146.296629,-22.015126,146.29508,-22.01683,DPeop22-7457,1-D7,Unrelated
C_BTF60,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 12:13,15/09/2021 1:03,No,Yes,BTF60,Jul_2022,Yes,146.29846,-22.01637,146.296629,-22.016126,146.29508,-22.01683,DPeop22-7457,1-D8,Unrelated
C_BTF61,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 1:54,15/09/2021 2:06,Yes,Yes,BTF61,Jul_2022,Yes,146.29846,-22.01887,146.296629,-22.017126,146.29508,-22.01683,DPeop22-7457,1-E8,Unrelated
C_BTF14,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,10/09/2021 12:45,10/09/2021 1:02,No,Yes,BTF14,Jul_2022,Yes,146.29596,-22.01887,146.295629,-22.017126,146.29508,-22.01683,DPeop22-7457,1-F2,Unrelated
C_BTF15,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,10/09/2021 12:50,10/09/2021 1:22,No,No,BTF15,Jul_2022,Yes,146.29346,-22.01887,146.294629,-22.017126,146.29508,-22.01683,DPeop22-7457,1-G2,Unrelated
C_BTF16,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,10/09/2021 2:00,10/09/2021 2:15,No,Yes,BTF16,Jul_2022,Yes,146.29346,-22.01637,146.294629,-22.016126,146.29508,-22.01683,DPeop22-7457,1-H2,Unrelated
C_BTF56,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 10:51,15/09/2021 11:46,No,Yes,BTF56,Jul_2022,Yes,146.29346,-22.01387,146.294629,-22.015126,146.29508,-22.01683,DPeop22-7457,1-H7,Unrelated
C_NOV53,Central,2022 Dry Season,Dry,Chays Ogston,4 Mile Bore,4MB,4MB,15/10/2022 7:25,15/10/2022 8:35,No,Yes,BTF288,Nov_2023,Yes,146.29346,-22.01137,146.294629,-22.014126,146.295371,-22.01643,DPoep23-8916,1-E7,Unrelated
C_NOV54,Central,2022 Dry Season,Dry,Chays Ogston,4 Mile Bore,4MB,4MB,15/10/2022 7:25,15/10/2022 7:48,No,Yes,BTF289,Nov_2023,Yes,146.29596,-22.01137,146.295629,-22.014126,146.295371,-22.01643,DPoep23-8916,1-F7,Unrelated
C_NOV89,Central,2022 Wet Season,Wet,Dean Jones,Boundary Rd 6km N 4mile bore,BR,BR,7/06/2022 0:15,7/06/2022 0:55,No,Yes,BTF176,Nov_2023,Yes,146.27093,-21.96139,146.27165,-21.96214,146.271546,-21.962496,DPoep23-8916,1-A12,Unrelated
S_BTF17,South,2021 Dry Season,Dry,Dean Jones,Carmichael bore,CMB,CMB,11/09/2021 3:20,11/09/2021 3:42,Yes,Yes,BTF17,Jul_2022,Yes,146.38343,-22.13643,146.383644,-22.137126,146.38315,-22.13729,DPeop22-7457,1-A3,Unrelated
S_BTF18,South,2021 Dry Season,Dry,Dean Jones,Carmichael bore,CMB,CMB,11/09/2021 1:45,11/09/2021 2:03,No,Yes,BTF18,Jul_2022,Yes,146.38343,-22.13393,146.383644,-22.136126,146.38315,-22.13729,DPeop22-7457,1-B3,Unrelated
S_BTF20,South,2021 Dry Season,Dry,Dean Jones,Carmichael bore,CMB,CMB,11/09/2021 2:50,11/09/2021 3:06,No,Yes,BTF20,Jul_2022,Yes,146.38593,-22.13393,146.384644,-22.136126,146.38315,-22.13729,DPeop22-7457,1-D3,Unrelated
S_BTF22,South,2021 Dry Season,Dry,Dean Jones,Carmichael bore,CMB,CMB,11/09/2021 4:05,11/09/2021 4:28,No,Yes,BTF22,Jul_2022,Yes,146.38593,-22.13643,146.384644,-22.137126,146.38315,-22.13729,DPeop22-7457,1-F3,Unrelated
S_BTF23,South,2021 Dry Season,Dry,Dean Jones,Carmichael bore,CMB,CMB,11/09/2021 4:08,11/09/2021 4:45,No,Yes,BTF23,Jul_2022,Yes,146.38593,-22.13893,146.384644,-22.138126,146.38315,-22.13729,DPeop22-7457,1-G3,Unrelated
S_NOV02,South,2023 Wet Season,Wet,Chays Ogston,Carmichael Bore,CMB,CMB,11/05/2023 9:40,11/05/2023 10:30,No,Yes,Nov-02,Nov_2023,Yes,146.38343,-22.13893,146.383644,-22.138126,146.383108,-22.137289,DPoep23-8916,1-B1,Unrelated
S_NOV05,South,2023 Wet Season,Wet,Chays Ogston,Carmichael Bore,CMB,CMB,11/05/2023 13:50,11/05/2023 14:10,No,Yes,Nov-05,Nov_2023,Yes,146.38093,-22.13893,146.382644,-22.138126,146.383108,-22.137289,DPoep23-8916,1-E1,Unrelated
