"id","pop","survey","season","sampler","site","site_code","capture_time","release_time","recapture","FTA_blood","field_sample_reference","blood_sample_batch","lon","lat","service","plate_location","sex"
"C_NOV83","Central","2022 Wet Season","Wet","Emily Drummond","Scrape on track SW of Ten Mile","SWTM","3/06/2022 1:30","3/06/2022 3:04","No","Yes","BTF146","Nov_2023",146.237251,-21.93675,"DPoep23-8916","1-C11","M"
"C_NOV91","Central","2022 Early Wet Season","Early Wet","Breanna Williams","Scrape on track SW of Ten Mile","SWTM","10/02/2022 10:22","10/02/2022 10:56","Yes","Yes","BTF74","Nov_2023",146.23714,-21.936683,"DPoep23-8916","1-C12","M"
"C_NOV59","Central","2022 Dry Season","Dry","Breanna Williams","11 Mile Scrape","11MS","7/10/2022 10:32","7/10/2022 11:51","No","Yes","BTF236","Nov_2023",146.272037,-21.914979,"DPoep23-8916","1-C8","F"
"C_NOV84","Central","2022 Wet Season","Wet","Emily Drummond","Scrape on track SW of Ten Mile","SWTM","3/06/2022 1:30","2/06/2022 15:50","No","Yes","BTF147","Nov_2023",146.237221,-21.936776,"DPoep23-8916","1-D11","M"
"C_NOV92","Central","2022 Early Wet Season","Early Wet","Breanna Williams","11 Mile Scrape","11MS","9/02/2022 11:38","9/02/2022 12:19","No","Yes","BTF68","Nov_2023",146.272062,-21.914974,"DPoep23-8916","1-D12","F"
"C_NOV60","Central","2022 Dry Season","Dry","Breanna Williams","11 Mile Scrape","11MS","7/10/2022 15:57","7/10/2022 16:38","No","Yes","BTF243","Nov_2023",146.272037,-21.914979,"DPoep23-8916","1-D8","M"
"C_NOV68","Central","2022 Dry Season","Dry","Breanna Williams","Three-ways Fence Scrape","3WFS","11/10/2022 11:45","11/10/2022 12:08","No","Yes","BTF258","Nov_2023",146.345083,-21.95085,"DPoep23-8916","1-D9","M"
"C_NOV85","Central","2022 Wet Season","Wet","Emily Drummond","11 Mile Scrape","11MS","3/06/2022 22:50","4/06/2022 0:16","No","Yes","BTF156","Nov_2023",146.27205,-21.914982,"DPoep23-8916","1-E11","F"
"C_NOV93","Central","2022 Early Wet Season","Early Wet","Breanna Williams","11 Mile Scrape","11MS","9/02/2022 2:40","9/02/2022 3:35","No","Yes","BTF70","Nov_2023",146.272021,-21.914966,"DPoep23-8916","1-E12","F"
"C_NOV53","Central","2022 Dry Season","Dry","Chays Ogston","4 Mile Bore","4MB","15/10/2022 7:25","15/10/2022 8:35","No","Yes","BTF288","Nov_2023",146.295371,-22.01643,"DPoep23-8916","1-E7","M"
"C_NOV61","Central","2022 Dry Season","Dry","Breanna Williams","10 Mile Bore","10MB","8/10/2022 10:50","8/10/2022 11:40","No","Yes","BTF245","Nov_2023",146.255729,-21.920341,"DPoep23-8916","1-E8","F"
"C_NOV69","Central","2022 Dry Season","Dry","Breanna Williams","Three-ways Fence Scrape","3WFS","11/10/2022 14:05","11/10/2022 14:25","No","Yes","BTF261","Nov_2023",146.345083,-21.95085,"DPoep23-8916","1-E9","M"
"C_NOV78","Central","2022 Early Wet Season","Early Wet","Breanna Williams","Scrape on track SW of Ten Mile","SWTM","19/02/2022 12:35","19/02/2022 14:04","No","Yes","BTF139","Nov_2023",146.237151,-21.936652,"DPoep23-8916","1-F10","M"
